Company Name,Company Website,Company Email,Company Address
Tanvtech,http://www.tanvtech.com,Not available,"1201 7th StNorth Bergen, NJ 07047"
DataTech Labs Data Recovery,http://www.datatechlab.com/data-recovery-labs/data-recovery-brooklyn-new-york,Not available,"850 3rd AveBrooklyn, NY 11232"
Bizwall Npcreate Inc,http://bizwall.net,Not available,"117 Grattan St Ste 104Brooklyn, NY 11237"
Vo Computer Services,Not available,Not available,"366 Central AveBrooklyn, NY 11221"
Aris Computer,Not available,Not available,"4333 46th StSunnyside, NY 11104"
Washington Computer Services,https://www.washcomp.com,Not available,"3554 32nd StAstoria, NY 11106"
"EHR Console, Inc.",Not available,Not available,"760 Parkside Ave Ste 227dBrooklyn, NY 11226"
Searsoft,Not available,Not available,"1645 Saint Johns PlBrooklyn, NY 11233"
Agilid Inc,http://agilid.com,Not available,"275 Linden BlvdBrooklyn, NY 11226"
Syntegra Inc,Not available,Not available,"322 Linden BlvdBrooklyn, NY 11226"
Quick Tech,Not available,Not available,"3314 Church AveBrooklyn, NY 11203"
Robert Sacks,Not available,mailto:info@robsacks.com,"25-40 31 Ave Apt 6HLong Island City, NY 11106"
Preferen Graphy,Not available,Not available,"3622 Church AveBrooklyn, NY 11203"
Tradestation Technologies,Not available,Not available,"755 Secaucus RdSecaucus, NJ 07094"
LLC Portware,Not available,Not available,"800 Secaucus RdSecaucus, NJ 07094"
Deutsche Boerse Systems,https://daysonav.com,Not available,"275 Hartz WaySecaucus, NJ 07094"
Sunguard,http://sungard.com,Not available,"275 Hartz WaySecaucus, NJ 07094"
IBM,http://ibm.com,Not available,"275 Hartz WaySecaucus, NJ 07094"
Global Commodity Systems,Not available,Not available,"3523 30th AveAstoria, NY 11103"
M & L Enterprise,Not available,Not available,"334 E 91st StBrooklyn, NY 11212"
Geosot,http://www.geosot.com,mailto:info@geosot.com,"2556 31st StAstoria, NY 11102"
Acbb Bits,Not available,Not available,"2821 Astoria BlvdAstoria, NY 11102"
Medweb,https://medweb.online,Not available,"2425 27th StAstoria, NY 11102"
Right IT Computers,Not available,Not available,"477 Ralph AveBrooklyn, NY 11233"
Triple Click Compute,Not available,Not available,"2281 Church AveBrooklyn, NY 11226"
Cox Nyc,Not available,Not available,"86 Erasmus StBrooklyn, NY 11226"
Interactive Computer Solutions,https://intacs.com,Not available,"4309 Church AveBrooklyn, NY 11203"
Equinix,http://www.equinix.com/locations/united-states-colocation/new-york-data-centers,mailto:servicedesk.de@eu.equinix.com,"275 Hartz WaySecaucus, NJ 07094"
ZT Systems,https://ztsystems.com/contact,mailto:hero.nagatomi@ztsystems.com,"350 Meadowlands PkwySecaucus, NJ 07094"
Willpower Infotech Limited,Not available,Not available,"100 E 8th StNew York, NY 10003"
Filocity.com,Not available,mailto:dave@filocity.com,"260 W 36th StNew York, NY 10018"
Jay Shapiro Computers,http://www.computerrepaircompanynewyork.com,mailto:jayshapiro1@yahoo.com,"1313 3rd AveNew York, NY 10021"
Mac PC NY,Not available,mailto:office@macpcny.com,"7 Dey StNew York, NY 10007"
Mobile Programming LLC.,http://www.mobileprogramming.com,mailto:webmaster@mobileprogramming.com,"115 BroadwayNew York, NY 10006"
Tall Software,http://tallsoft.com,mailto:pberry@interport.net,"9 Desbrosses St Rm 301New York, NY 10013"
Asahi Technologies LLC,http://www.asahitechnologies.com,mailto:info@asahitechnologies.com,"54 W 40th StNew York, NY 10018"
TecProtocol Business Solutions,http://www.tecprotocol.com,Not available,"353 W 48th St, Suite# 454New York, NY 10036"
Place IQ,http://www.nyceja.org,mailto:shaking@nyceja.org,"115 W 30th StNew York, NY 10001"
GSS,Not available,mailto:contact@greensoftwarestore.com,"Ave Str.New York, NY 10001"
Cavalier Technical Service / CTS,http://www.ctshosting.info,mailto:Service@ctscts.com,"224 West 35th St Ste 202New York, NY 10001"
Shuttle Cloud Corp.,http://www.shuttlecloud.com,mailto:info@shuttlecloud.com,"86 Chambers St Ste 704New York, NY 10007"
Bay Dynamics Inc,http://baydynamics.com,Not available,"299 Broadway Ste 905New York, NY 10007"
Omni Group Ltd,Not available,Not available,"187 Chrissy StNew York, NY 10007"
Bidawiz,http://www.bidawiz.com,Not available,"305 BroadwayNew York, NY 10007"
Ice Data Derivatives,https://www.superderivatives.com/mk/ContactUs.aspx,Not available,"100 Church StNew York, NY 10007"
Program Planning,Not available,Not available,"233 BroadwayNew York, NY 10279"
Iris Software,http://www.derivatives.com,Not available,"233 Broadway Rm 1005New York, NY 10279"
Splash,https://splashthat.com,Not available,"233 BroadwayNew York, NY 10279"
Iradix,http://www.iradix.com,Not available,"225 BroadwayNew York, NY 10007"
Agouti Construction Consulting,Not available,mailto:info@agouticonstructionconsulting.com,"225 BroadwayNew York, NY 10007"
3Forge,https://www.3forge.com/contact.html,Not available,"225 BroadwayNew York, NY 10007"
Dalziel White Associates Inc,Not available,mailto:info@dwa-corp.net,"20 Vesey StNew York, NY 10007"
Woodbine Systems Inc.,Not available,mailto:info@wsitservices.nyc,"222 Broadway Fl 19New York, NY 10038"
Cureatr Inc,http://cureatr.com,mailto:info@cureatr.com,"222 BroadwayNew York, NY 10038"
Axio Global Inc,http://axio.com,mailto:info@axio.com,"222 Broadway Fl 19New York, NY 10038"
Crypto Miner Bros,Not available,Not available,"222 BroadwayNew York, NY 10038"
AppViewX,https://appviewx.com,Not available,"222 BroadwayNew York, NY 10038"
"GreenScreens Ai, Inc",https://www.greenscreens.ai,Not available,"222 BroadwayNew York, NY 10038"
Vitalicious Inc,http://www.vitalicious.com,mailto:vitaevents@vitalicious.com,"303 Greenwich StNew York, NY 10013"
Genesis Global,http://www.genesis.global,mailto:stephen.murphy@genesis.global,"250 Greenwich StNew York, NY 10007"
"SQream Technologies USA, Inc",https://sqream.com,Not available,"250 Greenwich StNew York, NY 10007"
Temboo Inc,http://www.temboo.com,Not available,"104 Franklin StNew York, NY 10013"
Takeoutmusiccom Inc,http://takeoutinternational.com,mailto:mori@takeoutmusic.com,"381 BroadwayNew York, NY 10013"
Healthcare Division,Not available,Not available,"80 Nassau StNew York, NY 10038"
Bigtom Inc,Not available,Not available,"17 John StNew York, NY 10038"
Ess Computer Inc,Not available,Not available,"54 Mulberry StNew York, NY 10013"
"Kini Information Technology, Inc.",Not available,mailto:raj@kinit.com,"139 Fulton Street-Ste. 315New York, NY 10038"
Allcast Inc,https://www.boydcorp.com/company/about-us/locations.html,Not available,"217 West StNew York, NY 10282"
Starpoint Solutions,http://starpoint.com,mailto:info@starpoint.com,"22 Cortlandt St FL 14New York, NY 10007"
Microsoft Corporation,http://microsoft.com,Not available,"408 BroadwayNew York, NY 10013"
"Electric AI, Inc.",http://www.electric.ai,mailto:conner.jewitt@electric.ai,"408 Broadway Fl 5New York, NY 10013"
Genesis Software Svces Inc,Not available,Not available,"59 John StNew York, NY 10038"
Net-Quotient,http://netik.com,Not available,"40 Fulton StNew York, NY 10038"
Inference Data,Not available,Not available,"110 William StNew York, NY 10038"
Mind Games Software,http://appfigures.com,Not available,"40 Lispenard StNew York, NY 10013"
Irecommend Software,http://aimeeg.com,Not available,"165 BroadwayNew York, NY 10006"
"Cedar Cares, Inc",http://www.cedar.com,Not available,"32 Avenue Of The AmericasNew York, NY 10013"
Trill,https://www.trill.fit,Not available,"271 Canal StNew York, NY 10013"
Cyberwrite,https://cyberwrite.com,Not available,"1 Liberty PlzNew York, NY 10006"
Fractal Analytics Inc,http://yieldbook.com,mailto:lorraine.plazacolon@ssmb.com,"1 World Trade CtrNew York, NY 10007"
The Henson Group,https://www.hensongroup.com,Not available,"1 World Trade Ctr Fl 85New York, NY 10007"
Crikl Inc,Not available,Not available,"4 World Trade CtrNew York, NY 10007"
Mogimo Inc,https://www.hyprbrands.com,Not available,"4 World Trade CtrNew York, NY 10007"
Crikl Inc,https://crikl.com,mailto:Sdelp@crikl.com,"150 Greenwich StNew York, NY 10007"
Workday,http://workday.com,Not available,"59 Maiden LnNew York, NY 10038"
Infograins INC,https://infograins.com,Not available,"135 447 Broadway 2nd FloorNew York, NY 10013"
Placemeter Inc,http://www.placemeter.com,Not available,"425 BroadwayNew York, NY 10013"
eClinicalWorks,http://eclinicalworks.com,mailto:sales@eClinicalworks.com,"140 Broadway Fl 50New York, NY 10005"
Broadway Technology,http://www.broadwaytechnology.com,mailto:info@broadwaytechnology.com,"140 Broadway Ste 4320New York, NY 10005"
Voquette,Not available,Not available,"140 BroadwayNew York, NY 10005"
Halloween Mega Store Inc,https://www.newstore.com,Not available,"428 BroadwayNew York, NY 10013"
Younology Inc,Not available,Not available,"90 William StNew York, NY 10038"
"Universal Business Solutions, N.A.",http://ubsna.com,Not available,"90 John StNew York, NY 10038"
China Systems Inc,http://www.chinasystems.com,Not available,"90 John St Rm 306New York, NY 10038"
New York Software Service Inc,https://www.mobileprogramming.com,Not available,"115 BroadwayNew York, NY 10006"
Datavox Technologies Inc,http://www.mtm.com,mailto:gwong@datavox.com,"115 BroadwayNew York, NY 10006"
Zype Inc,https://www.zype.com,Not available,"115 BroadwayNew York, NY 10006"
Chatdesk,https://www.chatdesk.com,Not available,"115 Broadway Fl 5New York, NY 10006"
Solutions America,Not available,Not available,"115 BroadwayNew York, NY 10006"
Capitalstar Systems,http://www.capitalstarsystems.com,Not available,"115 BroadwayNew York, NY 10006"
Aacpa Inc,Not available,Not available,"185 Canal StNew York, NY 10013"
Beyond2021,http://www.beyond2021.com,mailto:keevin@beyond2021.com,"285 W BroadwayNew York, NY 10013"
Micromax Computer Intelligence,http://micromax.com,Not available,"29 E BroadwayNew York, NY 10002"
Algomod Corp,http://algomod.net,mailto:gene@algomod.com,"116 John St Apt 1406New York, NY 10038"
Wildcard,http://www.wildcard.nyc,mailto:naz@wildcard.nyc,"442 BroadwayNew York, NY 10013"
Stayli.com,https://stayli.com,Not available,"442 BroadwayNew York, NY 10013"
Profitect,https://www.profitect.com/get-a-demo,Not available,"388 Greenwich StNew York, NY 10013"
Native Ai,https://www.gonative.ai,Not available,"446 BroadwayNew York, NY 10013"
TuMenTiende Inc,https://www.tumentiende.com,mailto:zain@medsender.com,"447 Broadway 2nd FlNew York, NY 10013"
Vegecyber Inc,http://vegecyber.com,Not available,"210 Centre StNew York, NY 10013"
Vizzuality Inc,http://www.vizzuality.com,mailto:contact@vizzuality.com,"148 Lafayette StNew York, NY 10013"
Invisible Hand Networks,http://invisiblehand.net,Not available,"55 Avenue Of The AmericasNew York, NY 10013"
"MRG, Inc",http://www.myaidin.com,Not available,"371 Canal StNew York, NY 10013"
Vaultive,Not available,Not available,"100 BroadwayNew York, NY 10005"
Workfolio,https://www.workfolio.com,Not available,"20 Pine StNew York, NY 10005"
Lucera Financial Infrastructures,https://www.lucera.com,Not available,"199 Water StNew York, NY 10038"
Algomi Corp,https://www.algomi.com,Not available,"199 Water StNew York, NY 10038"
MBF Clearing Corp,http://www.mbfcc.com,Not available,"225 Liberty StNew York, NY 10281"
Masterworks.io,https://www.masterworks.com,Not available,"225 Liberty StNew York, NY 10281"
Tradepaq Corp,Not available,Not available,"90 Saint Johns LnNew York, NY 10013"
The Barbarian Group,http://www.barbariangroup.com,mailto:cinder@barbariangroup.com,"455 Broadway Fl 3New York, NY 10013"
Syscom Inc,http://www.syscomusa.com,mailto:sales@syscomusa.com,"55 E BroadwayNew York, NY 10002"
